"name","state","district","party","score","lifetime_score","chamber"
"Rep. Pat Fallon","TX",4,"Republican",0,0,"House"
"Rep. Lance Gooden","TX",5,"Republican",0,11,"House"
"Rep. Jake Ellzey","TX",6,"Republican",8,6,"House"
"Rep. Lizzie Fletcher","TX",7,"Democrat",100,100,"House"
"Rep. Kevin Brady","TX",8,"Republican",0,9,"House"
"Rep. Al Green","TX",9,"Democrat",100,99,"House"
"Rep. Michael McCaul","TX",10,"Republican",15,13,"House"
"Rep. August Pfluger","TX",11,"Republican",0,0,"House"
"Rep. Kay Granger","TX",12,"Republican",15,13,"House"
"Rep. Ronny Jackson","TX",13,"Republican",0,0,"House"
"Rep. Randy Weber","TX",14,"Republican",0,9,"House"
"Rep. Vicente Gonzalez","TX",15,"Democrat",100,95,"House"
"Rep. Veronica Escobar","TX",16,"Democrat",100,99,"House"
"Rep. Pete Sessions","TX",17,"Republican",8,6,"House"
"Rep. Sheila Jackson Lee","TX",18,"Democrat",100,98,"House"
"Rep. Jodey Arrington","TX",19,"Republican",0,8,"House"
"Rep. Joaquín Castro","TX",20,"Democrat",100,97,"House"
"Rep. Chip Roy","TX",21,"Republican",0,7,"House"
"Rep. Troy Nehls","TX",22,"Republican",0,0,"House"
"Rep. Tony Gonzales","TX",23,"Republican",8,12,"House"
"Rep. Beth Van Duyne","TX",24,"Republican",0,0,"House"
"Rep. Roger Williams","TX",25,"Republican",0,9,"House"
"Rep. Michael C. Burgess","TX",26,"Republican",8,9,"House"
"Rep. Michael Cloud","TX",27,"Republican",0,8,"House"
"Rep. Henry Cuellar","TX",28,"Democrat",92,73,"House"
"Rep. Sylvia Garcia","TX",29,"Democrat",100,99,"House"
"Rep. Eddie Bernice Johnson","TX",30,"Democrat",100,96,"House"
"Rep. John Carter","TX",31,"Republican",8,11,"House"
"Rep. Colin Allred","TX",32,"Democrat",100,100,"House"
"Rep. Marc Veasey","TX",33,"Democrat",100,98,"House"
"Rep. Mayra Flores","TX",34,"Republican",0,0,"House"
"Rep. Filemon Vela","TX",34,"Democrat",100,93,"House"
"Rep. Lloyd Doggett","TX",35,"Democrat",100,96,"House"
"Rep. Brian Babin","TX",36,"Republican",0,11,"House"
"Rep. Blake Moore","UT",1,"Republican",8,6,"House"
"Rep. Chris Stewart","UT",2,"Republican",8,12,"House"
"Rep. John Curtis","UT",3,"Republican",8,16,"House"
"Rep. Burgess Owens","UT",4,"Republican",8,6,"House"
"Rep. Robert J. Wittman","VA",1,"Republican",8,14,"House"
"Rep. Elaine Luria","VA",2,"Democrat",100,99,"House"
"Rep. Robert C. Scott","VA",3,"Democrat",100,98,"House"
"Rep. A. Donald McEachin","VA",4,"Democrat",100,96,"House"
"Rep. Robert Good","VA",5,"Republican",0,0,"House"
"Rep. Ben Cline","VA",6,"Republican",8,11,"House"
"Rep. Abigail Spanberger","VA",7,"Democrat",100,96,"House"
"Rep. Donald Beyer","VA",8,"Democrat",100,96,"House"
"Rep. Morgan Griffith","VA",9,"Republican",8,14,"House"
"Rep. Jennifer Wexton","VA",10,"Democrat",100,100,"House"
"Rep. Gerald E. Connolly","VA",11,"Democrat",100,93,"House"
"Rep. Peter Welch","VT",0,"Democrat",100,97,"House"
"Rep. Suzan K. DelBene","WA",1,"Democrat",100,95,"House"
