"congresspeople","community","score1","lifetime_score1","name"
"John Thune (R)",2,25,15,"John Thune"
"Mike Crapo (R)",2,8,12,"Mike Crapo"
"Troy Carter (D)",2,100,100,"Troy Carter"
"Bob Gibbs (R)",2,15,14,"Bob Gibbs"
"Cynthia Lummis (R)",2,25,9,"Cynthia Lummis"
"Mike Doyle (D)",2,100,98,"Mike Doyle"
"Dan Newhouse (R)",2,8,25,"Dan Newhouse"
"John Katko (R)",2,77,53,"John Katko"
"Lisa McClain (R)",2,15,6,"Lisa McClain"
"Doug LaMalfa (R)",2,8,14,"Doug LaMalfa"
"Chellie Pingree (D)",2,100,99,"Chellie Pingree"
"Don Bacon (R)",2,38,29,"Don Bacon"
"David Price (D)",2,100,97,"David Price"
"Deb Fischer (R)",2,17,17,"Deb Fischer"
"Mike Rounds (R)",2,25,20,"Mike Rounds"
"Brad Wenstrup (R)",2,0,8,"Brad Wenstrup"
"David P Joyce (R)",2,31,39,"David P Joyce"
"Lisa Murkowski (R)",2,45,39,"Lisa Murkowski"
"Kai Kahele (D)",2,100,100,"Kai Kahele"
"Mary Peltola (D)",2,100,100,"Mary Peltola"
"Michael Guest (R)",2,8,12,"Michael Guest"
"Steve Chabot (R)",2,15,9,"Steve Chabot"
"Filemon Vela (D)",2,100,93,"Filemon Vela"
"William Timmons (R)",2,0,8,"William Timmons"
"Shelley Moore Capito (R)",2,42,30,"Shelley Moore Capito"
"Mike Carey (R)",2,31,27,"Mike Carey"
"Blake Moore (R)",2,8,6,"Blake Moore"
"Matt Gaetz (R)",2,8,14,"Matt Gaetz"
"Al Lawson (D)",2,100,97,"Al Lawson"
"Antonio Delgado (R)",2,100,100,"Antonio Delgado"
"Zoe Lofgren (D)",3,100,97,"Zoe Lofgren"
"Maggie Hassan (D)",3,100,99,"Maggie Hassan"
"Conor Lamb (D)",3,100,94,"Conor Lamb"
"Debbie Stabenow (D)",3,100,97,"Debbie Stabenow"
"Kim Schrier (D)",3,100,100,"Kim Schrier"
"Alex Padilla (D)",3,100,100,"Alex Padilla"
"Tim Ryan (D)",3,100,98,"Tim Ryan"
"Tim Scott (R)",3,8,6,"Tim Scott"
"Julia Letlow (R)",3,8,4,"Julia Letlow"
"Elaine Luria (D)",3,100,99,"Elaine Luria"
"Michael Bennet (D)",3,100,93,"Michael Bennet"
"Colin Allred (D)",3,100,100,"Colin Allred"
"Kathy Manning (D)",3,100,100,"Kathy Manning"
"Marilyn Strickland (D)",3,100,100,"Marilyn Strickland"
"Pat Ryan (D)",3,100,100,"Pat Ryan"
"Tom Carper (D)",3,100,89,"Tom Carper"
"Darren Soto (D)",3,100,99,"Darren Soto"
"Cory Booker (D)",3,100,99,"Cory Booker"
"Maria Cantwell (D)",3,100,94,"Maria Cantwell"
"Andy Kim (D)",3,100,100,"Andy Kim"
"Adam Schiff (D)",3,100,97,"Adam Schiff"
"Mondaire Jones (D)",3,100,100,"Mondaire Jones"
"Suzan DelBene (D)",3,100,95,"Suzan DelBene"
"Marco Rubio (R)",3,18,11,"Marco Rubio"
"Michael McCaul (R)",3,15,13,"Michael McCaul"
"Morgan Griffith (R)",3,8,14,"Morgan Griffith"
"Mike Quigley (D)",3,100,95,"Mike Quigley"
"Josh Hawley (R)",3,17,12,"Josh Hawley"
"Kelly Armstrong (R)",3,8,11,"Kelly Armstrong"
"Tommy Tuberville (R)",3,0,6,"Tommy Tuberville"
"Jerry Carl (R)",3,0,0,"Jerry Carl"
"Robert B Aderholt (R)",3,8,14,"Robert B Aderholt"
"Don Young (R)",3,100,45,"Don Young"
"Mike Levin (D)",3,100,100,"Mike Levin"
"Nicole Malliotakis (R)",3,31,29,"Nicole Malliotakis"
"Gary Palmer (R)",3,0,7,"Gary Palmer"
"Dan Meuser (R)",3,15,14,"Dan Meuser"
"Jodey Arrington (R)",3,0,8,"Jodey Arrington"
"Debbie Lesko (R)",3,0,15,"Debbie Lesko"
"Sheila Jackson Lee (D)",3,100,98,"Sheila Jackson Lee"
"Pete Sessions (R)",3,8,6,"Pete Sessions"
"Mike Lee (R)",3,9,8,"Mike Lee"
"Alex Mooney (R)",3,0,11,"Alex Mooney"
"John Boozman (R)",3,17,14,"John Boozman"
"Jim Costa (D)",3,100,85,"Jim Costa"
"Michelle Steel (R)",3,0,3,"Michelle Steel"
"Glenn S Grothman (R)",3,8,10,"Glenn S Grothman"
"Raul Ruiz (D)",3,100,95,"Raul Ruiz"
"Joni Ernst (R)",3,25,18,"Joni Ernst"
"Brad Schneider (D)",3,100,94,"Brad Schneider"
"Darrell Issa (R)",3,0,10,"Darrell Issa"
"Frank D Lucas (R)",3,8,15,"Frank D Lucas"
"Andrew Clyde (R)",3,8,3,"Andrew Clyde"
"Brian Schatz (D)",3,100,99,"Brian Schatz"
"Ken Calvert (R)",3,8,15,"Ken Calvert"
"Sara Jacobs (D)",3,100,100,"Sara Jacobs"
"Joe Courtney (D)",3,100,99,"Joe Courtney"
"Matt Cartwright (D)",3,100,97,"Matt Cartwright"
"Chris Pappas (D)",3,100,100,"Chris Pappas"
"Jim Hagedorn (R)",3,100,23,"Jim Hagedorn"
"Cathy McMorris Rodgers (R)",3,0,11,"Cathy McMorris Rodgers"
"Brian Fitzpatrick (R)",3,85,65,"Brian Fitzpatrick"
"Ron Johnson (R)",3,9,10,"Ron Johnson"
"Virginia Foxx (R)",3,8,8,"Virginia Foxx"
"Ted Deutch (D)",3,100,97,"Ted Deutch"
"Dan Crenshaw (R)",3,0,17,"Dan Crenshaw"
"Mitch McConnell (R)",3,33,17,"Mitch McConnell"
"Gerry Connolly (D)",3,100,93,"Gerry Connolly"
"Andy Harris (R)",3,0,7,"Andy Harris"
